image_path,file_name,target_class,source,split
Gambo/Test/Corrected/3_752.png,3_752.png,1,Gambo,Train
Gambo/Train/Reversal/4_14795.png,4_14795.png,1,Gambo,Train
Gambo/Test/Reversal/b_455.png,b_455.png,1,Gambo,Train
Gambo/Test/Reversal/b_300.png,b_300.png,1,Gambo,Train
Gambo/Test/Normal/S-3146.png,S-3146.png,0,Gambo,Train
EMNIST_Processed/lower_v/emnist_img_train_690435.png,emnist_img_train_690435.png,0,EMNIST,Train
Gambo/Test/Normal/Normal2305 (2).png,Normal2305 (2).png,0,Gambo,Train
Gambo/Train/Corrected/3_4104.png,3_4104.png,1,Gambo,Train
EMNIST_Processed/lower_s/emnist_img_train_374830.png,emnist_img_train_374830.png,0,EMNIST,Train
Gambo/Train/Normal/J-855.png,J-855.png,0,Gambo,Train
EMNIST_Processed/lower_t/emnist_img_train_378789.png,emnist_img_train_378789.png,0,EMNIST,Train
Gambo/Train/Normal/B-2224.png,B-2224.png,0,Gambo,Train
Gambo/Train/Corrected/4_5434.png,4_5434.png,1,Gambo,Train
Gambo/Train/Normal/M-1454.png,M-1454.png,0,Gambo,Train
Gambo/Test/Reversal/4_2866.png,4_2866.png,1,Gambo,Train
Gambo/Train/Reversal/4_22232.png,4_22232.png,1,Gambo,Train
Gambo/Train/Corrected/6_22166.png,6_22166.png,1,Gambo,Train
Gambo/Test/Normal/W-165.png,W-165.png,0,Gambo,Train
Gambo/Test/Normal/Z-185.png,Z-185.png,0,Gambo,Train
Gambo/Train/Normal/Normal1992 (11).png,Normal1992 (11).png,0,Gambo,Train
Gambo/Train/Reversal/4_5442.png,4_5442.png,1,Gambo,Train
EMNIST_Processed/upper_R/emnist_img_train_247244.png,emnist_img_train_247244.png,0,EMNIST,Train
Gambo/Train/Normal/d_2379.png,d_2379.png,0,Gambo,Train
Gambo/Test/Reversal/b_87.png,b_87.png,1,Gambo,Train
Gambo/Train/Corrected/5_903.png,5_903.png,1,Gambo,Train
EMNIST_Processed/lower_o/emnist_img_train_154615.png,emnist_img_train_154615.png,0,EMNIST,Train
EMNIST_Processed/upper_R/emnist_img_train_508821.png,emnist_img_train_508821.png,0,EMNIST,Train
Gambo/Train/Corrected/5_6117.png,5_6117.png,1,Gambo,Train
Gambo/Train/Corrected/2_4647.png,2_4647.png,1,Gambo,Train
Gambo/Test/Normal/Y-426.png,Y-426.png,0,Gambo,Train
EMNIST_Processed/lower_m/emnist_img_train_22596.png,emnist_img_train_22596.png,0,EMNIST,Train
Gambo/Train/Reversal/4_21638.png,4_21638.png,1,Gambo,Train
Gambo/Train/Corrected/3_4568.png,3_4568.png,1,Gambo,Train
EMNIST_Processed/lower_k/emnist_img_train_580224.png,emnist_img_train_580224.png,0,EMNIST,Train
Gambo/Train/Corrected/3_3535.png,3_3535.png,1,Gambo,Train
Gambo/Train/Normal/Normal1354 (8).png,Normal1354 (8).png,0,Gambo,Train
Gambo/Train/Reversal/4_23911.png,4_23911.png,1,Gambo,Train
Gambo/Train/Reversal/d_3312.png,d_3312.png,1,Gambo,Train
Gambo/Train/Corrected/2_6214.png,2_6214.png,1,Gambo,Train
Gambo/Test/Corrected/4_194.png,4_194.png,1,Gambo,Train
Gambo/Test/Corrected/5_850.png,5_850.png,1,Gambo,Train
Gambo/Train/Normal/d_3097.png,d_3097.png,0,Gambo,Train
EMNIST_Processed/lower_s/emnist_img_train_95356.png,emnist_img_train_95356.png,0,EMNIST,Train
EMNIST_Processed/upper_K/emnist_img_train_28168.png,emnist_img_train_28168.png,0,EMNIST,Train
Gambo/Train/Normal/D-1945.png,D-1945.png,0,Gambo,Train
Gambo/Test/Corrected/6_7031.png,6_7031.png,1,Gambo,Train
Gambo/Train/Corrected/6_18727.png,6_18727.png,1,Gambo,Train
Gambo/Test/Corrected/6_9225.png,6_9225.png,1,Gambo,Train
Gambo/Train/Corrected/3_1662.png,3_1662.png,1,Gambo,Train
Gambo/Train/Reversal/d_1646.png,d_1646.png,1,Gambo,Train
Gambo/Train/Corrected/2_3993.png,2_3993.png,1,Gambo,Train
Gambo/Train/Corrected/6_22547.png,6_22547.png,1,Gambo,Train
Gambo/Train/Corrected/4_2418.png,4_2418.png,1,Gambo,Train
Gambo/Train/Reversal/4_31500.png,4_31500.png,1,Gambo,Train
Gambo/Test/Reversal/Reversal129 (5).png,Reversal129 (5).png,1,Gambo,Train
Gambo/Train/Normal/d_3614.png,d_3614.png,0,Gambo,Train
EMNIST_Processed/lower_s/emnist_img_train_250282.png,emnist_img_train_250282.png,0,EMNIST,Train
Gambo/Test/Corrected/6_2476.png,6_2476.png,1,Gambo,Train
Gambo/Train/Normal/Normal1120 (11).png,Normal1120 (11).png,0,Gambo,Train
Gambo/Train/Reversal/e-760.L3OUG.png,e-760.L3OUG.png,1,Gambo,Train
Gambo/Train/Corrected/6_666.png,6_666.png,1,Gambo,Train
Gambo/Train/Corrected/6_21628.png,6_21628.png,1,Gambo,Train
Gambo/Train/Corrected/6_12810.png,6_12810.png,1,Gambo,Train
EMNIST_Processed/lower_w/emnist_img_train_680144.png,emnist_img_train_680144.png,0,EMNIST,Train
Gambo/Train/Corrected/6_15953.png,6_15953.png,1,Gambo,Train
EMNIST_Processed/lower_a/emnist_img_train_50117.png,emnist_img_train_50117.png,0,EMNIST,Train
Gambo/Test/Corrected/A-1346.png,A-1346.png,1,Gambo,Train
EMNIST_Processed/upper_M/emnist_img_train_560089.png,emnist_img_train_560089.png,0,EMNIST,Train
Gambo/Train/Corrected/3_4642.png,3_4642.png,1,Gambo,Train
EMNIST_Processed/lower_i/emnist_img_train_71072.png,emnist_img_train_71072.png,0,EMNIST,Train
EMNIST_Processed/lower_n/emnist_img_train_408906.png,emnist_img_train_408906.png,0,EMNIST,Train
